Run: 1 || MSE: 76.64172386716909 || R^2 Score: 0.5996414956574142 || Explained Variance Score: 0.6019472226621588 || Learning Rate: 0.1|| Iterations: 100
Run: 2 || MSE: 76.64172386716909 || R^2 Score: 0.5996414956574142 || Explained Variance Score: 0.6019472226621588 || Learning Rate: 0.1|| Iterations: 120
Run: 3 || MSE: 76.64172386716909 || R^2 Score: 0.5996414956574142 || Explained Variance Score: 0.6019472226621588 || Learning Rate: 0.1|| Iterations: 140
Run: 4 || MSE: 76.64172386716909 || R^2 Score: 0.5996414956574142 || Explained Variance Score: 0.6019472226621588 || Learning Rate: 0.1|| Iterations: 160
Run: 5 || MSE: 76.64172386716909 || R^2 Score: 0.5996414956574142 || Explained Variance Score: 0.6019472226621588 || Learning Rate: 0.1|| Iterations: 180
Run: 6 || MSE: 76.64172386716909 || R^2 Score: 0.5996414956574142 || Explained Variance Score: 0.6019472226621588 || Learning Rate: 0.1|| Iterations: 200
Run: 7 || MSE: 76.64172386716909 || R^2 Score: 0.5996414956574142 || Explained Variance Score: 0.6019472226621588 || Learning Rate: 0.1|| Iterations: 300
Run: 8 || MSE: 76.64172386716909 || R^2 Score: 0.5996414956574142 || Explained Variance Score: 0.6019472226621588 || Learning Rate: 0.1|| Iterations: 400
Run: 9 || MSE: 76.64172386716909 || R^2 Score: 0.5996414956574142 || Explained Variance Score: 0.6019472226621588 || Learning Rate: 0.1|| Iterations: 500
Run: 10 || MSE: 76.64172386716909 || R^2 Score: 0.5996414956574142 || Explained Variance Score: 0.6019472226621588 || Learning Rate: 0.1|| Iterations: 600
Run: 11 || MSE: 76.64172386716909 || R^2 Score: 0.5996414956574142 || Explained Variance Score: 0.6019472226621588 || Learning Rate: 0.1|| Iterations: 700
Run: 12 || MSE: 76.64172386716909 || R^2 Score: 0.5996414956574142 || Explained Variance Score: 0.6019472226621588 || Learning Rate: 0.1|| Iterations: 800
Run: 13 || MSE: 76.64172386716909 || R^2 Score: 0.5996414956574142 || Explained Variance Score: 0.6019472226621588 || Learning Rate: 0.1|| Iterations: 900
Run: 14 || MSE: 76.64172386716909 || R^2 Score: 0.5996414956574142 || Explained Variance Score: 0.6019472226621588 || Learning Rate: 0.1|| Iterations: 1000
Run: 15 || MSE: 74.53225425601886 || R^2 Score: 0.6106608733000669 || Explained Variance Score: 0.6116099548149538 || Learning Rate: 0.01|| Iterations: 100
Run: 16 || MSE: 74.53225425601886 || R^2 Score: 0.6106608733000669 || Explained Variance Score: 0.6116099548149538 || Learning Rate: 0.01|| Iterations: 120
Run: 17 || MSE: 74.53225425601886 || R^2 Score: 0.6106608733000669 || Explained Variance Score: 0.6116099548149538 || Learning Rate: 0.01|| Iterations: 140
Run: 18 || MSE: 74.53225425601886 || R^2 Score: 0.6106608733000669 || Explained Variance Score: 0.6116099548149538 || Learning Rate: 0.01|| Iterations: 160
Run: 19 || MSE: 74.53225425601886 || R^2 Score: 0.6106608733000669 || Explained Variance Score: 0.6116099548149538 || Learning Rate: 0.01|| Iterations: 180
Run: 20 || MSE: 74.53225425601886 || R^2 Score: 0.6106608733000669 || Explained Variance Score: 0.6116099548149538 || Learning Rate: 0.01|| Iterations: 200
Run: 21 || MSE: 74.53225425601886 || R^2 Score: 0.6106608733000669 || Explained Variance Score: 0.6116099548149538 || Learning Rate: 0.01|| Iterations: 300
Run: 22 || MSE: 74.53225425601886 || R^2 Score: 0.6106608733000669 || Explained Variance Score: 0.6116099548149538 || Learning Rate: 0.01|| Iterations: 400
Run: 23 || MSE: 74.53225425601886 || R^2 Score: 0.6106608733000669 || Explained Variance Score: 0.6116099548149538 || Learning Rate: 0.01|| Iterations: 500
Run: 24 || MSE: 74.53225425601886 || R^2 Score: 0.6106608733000669 || Explained Variance Score: 0.6116099548149538 || Learning Rate: 0.01|| Iterations: 600
Run: 25 || MSE: 74.53225425601886 || R^2 Score: 0.6106608733000669 || Explained Variance Score: 0.6116099548149538 || Learning Rate: 0.01|| Iterations: 700
Run: 26 || MSE: 74.53225425601886 || R^2 Score: 0.6106608733000669 || Explained Variance Score: 0.6116099548149538 || Learning Rate: 0.01|| Iterations: 800
Run: 27 || MSE: 74.53225425601886 || R^2 Score: 0.6106608733000669 || Explained Variance Score: 0.6116099548149538 || Learning Rate: 0.01|| Iterations: 900
Run: 28 || MSE: 74.53225425601886 || R^2 Score: 0.6106608733000669 || Explained Variance Score: 0.6116099548149538 || Learning Rate: 0.01|| Iterations: 1000
Run: 29 || MSE: 74.49654113214277 || R^2 Score: 0.6108474303363518 || Explained Variance Score: 0.6119524062942456 || Learning Rate: 0.001|| Iterations: 300
Run: 30 || MSE: 74.49654113214277 || R^2 Score: 0.6108474303363518 || Explained Variance Score: 0.6119524062942456 || Learning Rate: 0.001|| Iterations: 400
Run: 31 || MSE: 74.49654113214277 || R^2 Score: 0.6108474303363518 || Explained Variance Score: 0.6119524062942456 || Learning Rate: 0.001|| Iterations: 500
