Run: 1 || MSE: 1.1084151762384276 || R^2 Score: -68.93291671263316 || Explained Variance Score: -60.490872553845605 || Learning Rate: 0.001|| Iterations: 20
Run: 2 || MSE: 1.3025724138270245 || R^2 Score: -81.18282289987717 || Explained Variance Score: -79.95154548768706 || Learning Rate: 0.001|| Iterations: 40
Run: 3 || MSE: 2.021552585989825 || R^2 Score: -126.54523003375434 || Explained Variance Score: -87.816388589772 || Learning Rate: 0.001|| Iterations: 60
Run: 4 || MSE: 1.4031470189388449 || R^2 Score: -87.52834724262394 || Explained Variance Score: -87.38085803873102 || Learning Rate: 0.001|| Iterations: 80
Run: 5 || MSE: 1.27727450248576 || R^2 Score: -79.58670912882964 || Explained Variance Score: -79.34463069649067 || Learning Rate: 0.001|| Iterations: 100
Run: 6 || MSE: 0.6380372874128987 || R^2 Score: -39.25550122078318 || Explained Variance Score: -16.221599058966266 || Learning Rate: 0.001|| Iterations: 120
Run: 7 || MSE: 1.4543149026207518 || R^2 Score: -90.75666766316533 || Explained Variance Score: -77.74332763459967 || Learning Rate: 0.001|| Iterations: 140
Run: 8 || MSE: 1.4046017706535998 || R^2 Score: -87.62013146994819 || Explained Variance Score: -61.13811734618617 || Learning Rate: 0.001|| Iterations: 160
Run: 9 || MSE: 0.20940350182520986 || R^2 Score: -12.211834307586258 || Explained Variance Score: -12.152901951627276 || Learning Rate: 0.001|| Iterations: 180
Run: 10 || MSE: 0.36989093401297585 || R^2 Score: -22.33742124397189 || Explained Variance Score: -21.539489418667603 || Learning Rate: 0.001|| Iterations: 200
Run: 11 || MSE: 0.3345860838103458 || R^2 Score: -20.10994258642469 || Explained Variance Score: -19.357777486482888 || Learning Rate: 0.001|| Iterations: 300
Run: 12 || MSE: 0.7006174431236483 || R^2 Score: -43.2038528051015 || Explained Variance Score: -41.05810673670417 || Learning Rate: 0.001|| Iterations: 400
Run: 13 || MSE: 0.5178039099910267 || R^2 Score: -31.66965166767882 || Explained Variance Score: -28.630846081287498 || Learning Rate: 0.001|| Iterations: 500
Run: 14 || MSE: 0.34851481041918875 || R^2 Score: -20.988743687971244 || Explained Variance Score: -16.937431512026848 || Learning Rate: 0.001|| Iterations: 600
Run: 15 || MSE: 0.26025605379544586 || R^2 Score: -15.420259596049092 || Explained Variance Score: -15.37708923210414 || Learning Rate: 0.001|| Iterations: 700
Run: 16 || MSE: 0.16407928659181534 || R^2 Score: -9.35220676284338 || Explained Variance Score: -8.794084209819932 || Learning Rate: 0.001|| Iterations: 800
Run: 17 || MSE: 0.34183851887165984 || R^2 Score: -20.56751836486888 || Explained Variance Score: -9.750828355103447 || Learning Rate: 0.001|| Iterations: 900
Run: 18 || MSE: 0.15335887440993923 || R^2 Score: -8.67582691140135 || Explained Variance Score: -5.790050739758282 || Learning Rate: 0.001|| Iterations: 1000
Run: 19 || MSE: 1.1688381481216117 || R^2 Score: -72.74516572439474 || Explained Variance Score: -65.132328121472 || Learning Rate: 0.01|| Iterations: 20
Run: 20 || MSE: 0.3973546515086424 || R^2 Score: -24.07018159353841 || Explained Variance Score: -20.195150217757885 || Learning Rate: 0.01|| Iterations: 40
Run: 21 || MSE: 0.45423880323724897 || R^2 Score: -27.65915685333738 || Explained Variance Score: -15.54610953426084 || Learning Rate: 0.01|| Iterations: 60
Run: 22 || MSE: 0.34694583271304674 || R^2 Score: -20.889752633355798 || Explained Variance Score: -13.787093568683444 || Learning Rate: 0.01|| Iterations: 80
Run: 23 || MSE: 0.2515749157321898 || R^2 Score: -14.872543074150839 || Explained Variance Score: -8.42816141026028 || Learning Rate: 0.01|| Iterations: 100
Run: 24 || MSE: 0.18231440994210701 || R^2 Score: -10.502710102962054 || Explained Variance Score: -8.82475594029762 || Learning Rate: 0.01|| Iterations: 120
Run: 25 || MSE: 0.1405841237889357 || R^2 Score: -7.869833281618057 || Explained Variance Score: -6.871364594453853 || Learning Rate: 0.01|| Iterations: 140
Run: 26 || MSE: 0.14953255540766 || R^2 Score: -8.434414078160966 || Explained Variance Score: -6.486396314941898 || Learning Rate: 0.01|| Iterations: 160
Run: 27 || MSE: 0.13799952173465913 || R^2 Score: -7.706763735051199 || Explained Variance Score: -6.895708036216942 || Learning Rate: 0.01|| Iterations: 180
Run: 28 || MSE: 0.051554334961417765 || R^2 Score: -2.25270267885297 || Explained Variance Score: -1.9819848559763233 || Learning Rate: 0.01|| Iterations: 200
Run: 29 || MSE: 0.05221908878870891 || R^2 Score: -2.2946437989629636 || Explained Variance Score: -2.245280534684024 || Learning Rate: 0.01|| Iterations: 300
Run: 30 || MSE: 0.035141561948852394 || R^2 Score: -1.217176359187901 || Explained Variance Score: -1.2043135329695125 || Learning Rate: 0.01|| Iterations: 400
Run: 31 || MSE: 0.007774572996412319 || R^2 Score: 0.5094811245010991 || Explained Variance Score: 0.5095210175552698 || Learning Rate: 0.01|| Iterations: 500
Run: 32 || MSE: 0.011969291322077674 || R^2 Score: 0.24482497977270012 || Explained Variance Score: 0.2472571638807316 || Learning Rate: 0.01|| Iterations: 600
Run: 33 || MSE: 0.014818541832117641 || R^2 Score: 0.06505804506845059 || Explained Variance Score: 0.06724274887587145 || Learning Rate: 0.01|| Iterations: 700
Run: 34 || MSE: 0.008620651299743298 || R^2 Score: 0.4560997519002573 || Explained Variance Score: 0.4562532683937135 || Learning Rate: 0.01|| Iterations: 800
Run: 35 || MSE: 0.007848225269115956 || R^2 Score: 0.5048342030558701 || Explained Variance Score: 0.5048780193489971 || Learning Rate: 0.01|| Iterations: 900
Run: 36 || MSE: 0.008648506481837131 || R^2 Score: 0.4543422929885217 || Explained Variance Score: 0.45449919865254707 || Learning Rate: 0.01|| Iterations: 1000
Run: 37 || MSE: 0.04819179733978847 || R^2 Score: -2.0405510695304407 || Explained Variance Score: -1.4827588501873672 || Learning Rate: 0.1|| Iterations: 20
Run: 38 || MSE: 0.045039296872247954 || R^2 Score: -1.8416512733536834 || Explained Variance Score: -1.7803136261597827 || Learning Rate: 0.1|| Iterations: 40
Run: 39 || MSE: 0.013647148458785532 || R^2 Score: 0.13896442687474186 || Explained Variance Score: 0.1416449203835639 || Learning Rate: 0.1|| Iterations: 60
Run: 40 || MSE: 0.013520922551233105 || R^2 Score: 0.14692836139050447 || Explained Variance Score: 0.1488483860671529 || Learning Rate: 0.1|| Iterations: 80
Run: 41 || MSE: 0.008160160254990854 || R^2 Score: 0.4851533796111962 || Explained Variance Score: 0.48521957305560337 || Learning Rate: 0.1|| Iterations: 100
Run: 42 || MSE: 0.008137934172094718 || R^2 Score: 0.4865556834025413 || Explained Variance Score: 0.4866272242412977 || Learning Rate: 0.1|| Iterations: 120
Run: 43 || MSE: 0.007375055179206216 || R^2 Score: 0.5346877860795738 || Explained Variance Score: 0.5346879411377049 || Learning Rate: 0.1|| Iterations: 140
Run: 44 || MSE: 0.0062826568132521325 || R^2 Score: 0.6036101588339239 || Explained Variance Score: 0.6039897694414327 || Learning Rate: 0.1|| Iterations: 160
Run: 45 || MSE: 0.00633785968786376 || R^2 Score: 0.6001272599028445 || Explained Variance Score: 0.6004369332961398 || Learning Rate: 0.1|| Iterations: 180
Run: 46 || MSE: 0.006233509289601834 || R^2 Score: 0.6067110092659187 || Explained Variance Score: 0.6071747234652966 || Learning Rate: 0.1|| Iterations: 200
Run: 47 || MSE: 0.006157185436713571 || R^2 Score: 0.6115264879436249 || Explained Variance Score: 0.6123623474656794 || Learning Rate: 0.1|| Iterations: 300
Run: 48 || MSE: 0.006162067745656506 || R^2 Score: 0.6112184498438306 || Explained Variance Score: 0.6121613699194566 || Learning Rate: 0.1|| Iterations: 400
Run: 49 || MSE: 0.006163960715695332 || R^2 Score: 0.611099017235091 || Explained Variance Score: 0.6120622824628137 || Learning Rate: 0.1|| Iterations: 500
Run: 50 || MSE: 0.0061641850455878755 || R^2 Score: 0.61108486365435 || Explained Variance Score: 0.6120503528269936 || Learning Rate: 0.1|| Iterations: 600
Run: 51 || MSE: 0.006164302920494922 || R^2 Score: 0.6110774266070832 || Explained Variance Score: 0.6120440711009301 || Learning Rate: 0.1|| Iterations: 700
Run: 52 || MSE: 0.006164317860508479 || R^2 Score: 0.611076484001148 || Explained Variance Score: 0.6120432742900459 || Learning Rate: 0.1|| Iterations: 800
Run: 53 || MSE: 0.006164320865924817 || R^2 Score: 0.6110762943812881 || Explained Variance Score: 0.6120431139820157 || Learning Rate: 0.1|| Iterations: 900
Run: 54 || MSE: 0.006164321621372086 || R^2 Score: 0.611076246718073 || Explained Variance Score: 0.6120430736857786 || Learning Rate: 0.1|| Iterations: 1000
